,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:21,187,"1,663",630,3,33,39.6,255,9,428,224,23,25,704,1,100%,8,7,88.6%,335,28,0,15,2,0,74%,31/42,Titans vs Storm,Titans,2013
1,57%,29:37,170,"1,525",498,3,28,39.1,192,10,432,231,20,25,779,0,70%,6,2,89.6%,386,33,1,12,6,1,72%,28/39,Titans vs Storm,Storm,2013
