,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:28,197,"1,725",505,0,15,40.1,243,3.53s,12,412,220,34,24,555,3,78%,4,7,89%,379,33,0,14,15,5,0,8,70%,30/43,Warriors vs Broncos,Warriors,2019
1,49%,28:19,185,"1,567",464,3,33,42.4,146,3.54s,9,390,208,15,21,596,2,53%,5,3,91.7%,355,15,2,17,12,10,1,8,70%,26/37,Warriors vs Broncos,Broncos,2019
