,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,17:58,124,"1,224",325,4,13,38.3,88,3.59s,6,269,144,5,10,184,25%,4,3,84.7%,299,36,18,14,6,0,7,0,59%,19/32,Wests Tigers vs Raiders,Wests Tigers,2016
1,58%,24:50,160,"1,711",456,11,36,47.5,132,3.54s,11,337,173,10,14,357,86%,2,2,90.8%,216,13,9,7,11,1,8,2,81%,29/36,Wests Tigers vs Raiders,Raiders,2016
