,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:31,164,"1,504",436,6,19,44.3,172,3.45s,8,373,204,13,20,474,1,50%,5,6,87.8%,330,27,1,19,11,6,8,71%,24/34,Titans vs Warriors,Titans,2017
1,53%,27:38,188,"1,722",473,7,27,46.6,153,3.51s,12,404,216,4,20,603,1,90%,2,3,91.2%,310,19,0,11,9,3,7,86%,32/37,Titans vs Warriors,Warriors,2017
