,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:20,155,"1,418",462,4,28,48.9,101,3.82s,12,356,190,30,19,457,56%,4,6,90.2%,359,27,1,12,12,7,8,2,79%,23/29,Eels vs Cowboys,Eels,2017
1,53%,27:27,181,"1,670",576,6,27,44,152,3.75s,8,414,233,31,20,605,64%,6,1,87%,294,28,0,16,6,4,8,0,84%,32/38,Eels vs Cowboys,Cowboys,2017
