,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:00,165,"1,720",455,4,45,49.2,279,3.49s,18,351,185,34,10,293,1,50%,2,3,91.8%,324,21,8,16,3,7,0,63%,22/35,Broncos vs Titans,Broncos,2017
1,52%,26:00,159,"1,379",422,2,21,40.6,122,3.43s,6,400,221,24,25,601,1,50%,0,11,80%,276,45,24,8,4,8,3,79%,27/34,Broncos vs Titans,Titans,2017
