,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,23:57,150,"1,457",497,1,21,44.2,74,3.33s,10,353,192,7,20,559,0,92%,1,3,86.3%,353,40,1,16,4,6,2,8,1,88%,29/33,Eels vs Roosters,Eels,2018
1,54%,28:06,174,"2,135",686,13,40,56.2,250,3.61s,9,419,237,12,18,377,1,71%,11,4,87.9%,291,21,0,19,12,5,0,7,0,76%,29/38,Eels vs Roosters,Roosters,2018
