,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,66%,37:00,190,"1,736",588,5,30,39.5,195,5,449,240,10,24,759,100%,1,4,90.5%,275,13,1,16,5,70%,31/44,Bulldogs vs Wests Tigers,Bulldogs,2014
1,34%,19:04,148,"1,468",464,2,13,38.6,133,11,323,166,10,16,450,85%,1,2,91.2%,396,30,0,8,7,55%,21/38,Bulldogs vs Wests Tigers,Wests Tigers,2014
