,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Eels vs Knights,2019
1,79:54,Penalty Shot-Made,Mitchell Moses,Eels,,,20-14,Eels vs Knights,2019
2,78:24,Interchange #8,,Knights,                   Sione Mata'utia,                   Daniel Saifiti,,Eels vs Knights,2019
3,78:18,Penalties - Other,David Klemmer,Knights,,,,Eels vs Knights,2019
4,77:22,Error,Mitchell Barnett,Knights,,,,Eels vs Knights,2019
5,76:10,Error,Daniel Saifiti,Knights,,,,Eels vs Knights,2019
6,75:23,Interchange #8,,Eels,                   Junior Paulo,                   David Gower,,Eels vs Knights,2019
7,73:53,Interchange #7,,Eels,                   Marata Niukore,                   Tepai Moeroa,,Eels vs Knights,2019
8,69:51,Interchange - HIA,,Knights,                   Danny Levi,                   Tim Glasby,,Eels vs Knights,2019
9,69:30,Error,Tepai Moeroa,Eels,,,,Eels vs Knights,2019
10,69:13,Linebreak,Manu Ma'u,Eels,,,,Eels vs Knights,2019
11,68:55,Error,Mason Lino,Knights,,,,Eels vs Knights,2019
12,66:16,Error,Kalyn Ponga,Knights,,,,Eels vs Knights,2019
13,65:00,Interchange #6,,Eels,                   Tepai Moeroa,                   Junior Paulo,,Eels vs Knights,2019
14,64:16,Error,Hymel Hunt,Knights,,,,Eels vs Knights,2019
15,62:43,Interchange #7,,Knights,                   Daniel Saifiti,                   Sione Mata'utia,,Eels vs Knights,2019
16,62:37,Conversion-Missed,Mitchell Moses,Eels,,,,Eels vs Knights,2019
17,61:18,Video Referee,Try,Eels,,,,Eels vs Knights,2019
18,61:12,Try,Maika Sivo,Eels,,,18-14,Eels vs Knights,2019
19,60:40,Linebreak,Dylan Brown,Eels,,,,Eels vs Knights,2019
20,59:58,Error,Shaun Kenny-Dowall,Knights,,,,Eels vs Knights,2019
21,59:54,Kick Bomb,Mason Lino,Knights,,,,Eels vs Knights,2019
22,58:16,Interchange #5,,Eels,                   David Gower,                   Marata Niukore,,Eels vs Knights,2019
23,56:35,Interchange #6,,Knights,                   David Klemmer,                   Jacob Saifiti,,Eels vs Knights,2019
24,56:32,Conversion-Made,Mitchell Moses,Eels,,,14-14,Eels vs Knights,2019
25,55:13,Try,Reed Mahoney,Eels,,,12-14,Eels vs Knights,2019
26,55:13,Linebreak,Reed Mahoney,Eels,,,,Eels vs Knights,2019
27,54:30,Penalty - Offside inside 10m,Mitchell Pearce,Knights,,,,Eels vs Knights,2019
28,53:31,Line Dropout,Mitchell Pearce,Knights,,,,Eels vs Knights,2019
29,53:30,Interchange #5,,Knights,                   Tim Glasby,                   Aidan Guerra,,Eels vs Knights,2019
30,53:06,Interchange #4,,Knights,                   Connor Watson,                   Danny Levi,,Eels vs Knights,2019
31,52:43,Kick Bomb,Mitchell Moses,Eels,,,,Eels vs Knights,2019
32,50:32,Error,Brad Takairangi,Eels,,,,Eels vs Knights,2019
33,50:27,Kick Bomb,Mitchell Moses,Eels,,,,Eels vs Knights,2019
34,49:27,Interchange #4,,Eels,                   Reed Mahoney,                   Peni Terepo,,Eels vs Knights,2019
35,48:30,Conversion-Made,Mason Lino,Knights,,,8-14,Eels vs Knights,2019
36,46:56,Try,Shaun Kenny-Dowall,Knights,,,8-12,Eels vs Knights,2019
37,45:00,Kick Bomb,Mason Lino,Knights,,,,Eels vs Knights,2019
38,44:08,Conversion-Made,Mason Lino,Knights,,,8-8,Eels vs Knights,2019
39,43:00,Video Referee,Try,Knights,,,,Eels vs Knights,2019
40,42:54,Try,Mitchell Barnett,Knights,,,8-6,Eels vs Knights,2019
41,41:35,Penalty - Offside Downtown,Michael Jennings,Eels,,,,Eels vs Knights,2019
42,40:02,Penalties - Other,Kalyn Ponga,Knights,,,,Eels vs Knights,2019
43,40:01,Interchange - HIA Cleared,,Eels,                   Marata Niukore,                   David Gower,,Eels vs Knights,2019
44,39:50,Error,Shaun Kenny-Dowall,Knights,,,,Eels vs Knights,2019
45,38:23,Error,Michael Jennings,Eels,,,,Eels vs Knights,2019
46,37:18,Interchange - HIA,,Eels,                   Junior Paulo,                   Marata Niukore,,Eels vs Knights,2019
47,33:37,Interchange #3,,Knights,                   Aidan Guerra,                   David Klemmer,,Eels vs Knights,2019
48,32:45,Interchange #3,,Eels,                   Peni Terepo,                   Reed Mahoney,,Eels vs Knights,2019
49,32:01,Interchange - HIA Cleared,,Knights,                   Danny Levi,                   Connor Watson,,Eels vs Knights,2019
50,31:46,Kick Bomb,Mitchell Moses,Eels,,,,Eels vs Knights,2019
51,30:39,Conversion-Missed,Mitchell Moses,Eels,,,,Eels vs Knights,2019
52,29:09,Try,Clinton Gutherson,Eels,,,8-2,Eels vs Knights,2019
53,28:18,Penalty - Crowding,Connor Watson,Knights,,,,Eels vs Knights,2019
54,26:56,Interchange #2,,Knights,                   Jacob Saifiti,                   Daniel Saifiti,,Eels vs Knights,2019
55,26:52,Error,Clinton Gutherson,Eels,,,,Eels vs Knights,2019
56,26:11,Line Dropout,Mitchell Pearce,Knights,,,,Eels vs Knights,2019
57,25:48,Interchange #1,,Knights,                   Sione Mata'utia,                   Tim Glasby,,Eels vs Knights,2019
58,24:28,Penalty - Slow Peel,Lachlan Fitzgibbon,Knights,,,,Eels vs Knights,2019
59,24:01,Interchange #2,,Eels,                   David Gower,                   Daniel Alvaro,,Eels vs Knights,2019
60,23:46,Kick Bomb,Mitchell Pearce,Knights,,,,Eels vs Knights,2019
61,22:17,Penalty - Slow Peel,Marata Niukore,Eels,,,,Eels vs Knights,2019
62,21:53,Error,Mitchell Moses,Eels,,,,Eels vs Knights,2019
63,21:10,Interchange #1,,Eels,                   Marata Niukore,                   Junior Paulo,,Eels vs Knights,2019
64,20:50,Error,Tautau Moga,Knights,,,,Eels vs Knights,2019
65,19:42,Conversion-Missed,Mitchell Moses,Eels,,,,Eels vs Knights,2019
66,18:59,Interchange - HIA,,Knights,                   Connor Watson,                   Danny Levi,,Eels vs Knights,2019
67,18:11,Try,Clinton Gutherson,Eels,,,4-2,Eels vs Knights,2019
68,17:08,Line Dropout,Mitchell Pearce,Knights,,,,Eels vs Knights,2019
69,15:20,Penalty - Offside inside 10m,Mason Lino,Knights,,,,Eels vs Knights,2019
70,14:20,Line Dropout,Clinton Gutherson,Eels,,,,Eels vs Knights,2019
71,12:41,Penalty - Ball Strip,Nathan Brown,Eels,,,,Eels vs Knights,2019
72,11:13,Penalty Shot-Made,Mason Lino,Knights,,,0-2,Eels vs Knights,2019
73,09:45,Penalty - Slow Peel,Nathan Brown,Eels,,,,Eels vs Knights,2019
74,08:32,Error,Brad Takairangi,Eels,,,,Eels vs Knights,2019
75,05:51,Kick Bomb,Mitchell Moses,Eels,,,,Eels vs Knights,2019
76,05:51,Penalty - Pressure on Kicker,Danny Levi,Knights,,,,Eels vs Knights,2019
77,04:44,Line Dropout,Mitchell Pearce,Knights,,,,Eels vs Knights,2019
78,03:03,Penalty - Holding Down,Mitchell Pearce,Knights,,,,Eels vs Knights,2019
79,01:40,Kick Bomb,Mitchell Moses,Eels,,,,Eels vs Knights,2019
80,00:00,KICK OFF,,,,,,Eels vs Knights,2019
