,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,31:24,196,"1,801",624,3,35,43.9,238,3.48s,13,447,245,29,25,694,2,91%,8,6,85.7%,354,45,14,8,10,8,83%,34/41,Titans vs Storm,Titans,2018
1,45%,25:41,194,"1,711",592,6,45,39.8,231,3.41s,10,404,215,44,22,600,0,83%,3,5,87.9%,393,35,19,8,7,8,84%,36/43,Titans vs Storm,Storm,2018
